corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,vref_2ms_v,vref_3ms_v,vref_settle_delta_v,vbeq3_2ms_v,vbeq3_3ms_v
sf,hbt_typ,mos_sf,res_typ,-40,2.97,PASS,2.16437e+00,7.84600e-01,7.84875e-01,5.10871e-03,2.16437e-09,0.000275,1.04888e+00,1.04888e+00,0,7.85271e-01,7.85271e-01
sf,hbt_typ,mos_sf,res_typ,-40,3.30,PASS,2.49447e+00,7.84642e-01,7.85011e-01,5.69979e-03,2.49447e-09,0.000369,1.04956e+00,1.04956e+00,0,7.85320e-01,7.85320e-01
sf,hbt_typ,mos_sf,res_typ,-40,3.63,PASS,2.82460e+00,7.84679e-01,7.85130e-01,6.29656e-03,2.82460e-09,0.000451,1.05013e+00,1.05013e+00,0,7.85361e-01,7.85361e-01
sf,hbt_typ,mos_sf,res_typ,27,2.97,PASS,2.19377e+00,7.08230e-01,7.08394e-01,1.19982e-02,2.19381e-09,0.000164,1.05008e+00,1.05008e+00,0,7.08872e-01,7.08872e-01
sf,hbt_typ,mos_sf,res_typ,27,3.30,PASS,2.52390e+00,7.08272e-01,7.08530e-01,1.35173e-02,2.52395e-09,0.000258,1.05077e+00,1.05077e+00,0,7.08922e-01,7.08922e-01
sf,hbt_typ,mos_sf,res_typ,27,3.63,PASS,2.85406e+00,7.08306e-01,7.08640e-01,1.50876e-02,2.85412e-09,0.000334,1.05129e+00,1.05129e+00,0,7.08960e-01,7.08960e-01
sf,hbt_typ,mos_sf,res_typ,125,2.97,PASS,2.25269e+00,5.90012e-01,5.90002e-01,4.26265e-02,2.28698e-09,1e-05,1.04825e+00,1.04825e+00,0,5.90569e-01,5.90569e-01
sf,hbt_typ,mos_sf,res_typ,125,3.30,PASS,2.58285e+00,5.90051e-01,5.90127e-01,5.14423e-02,2.62761e-09,7.6e-05,1.04892e+00,1.04892e+00,0,5.90618e-01,5.90618e-01
sf,hbt_typ,mos_sf,res_typ,125,3.63,PASS,2.91310e+00,5.90074e-01,5.90205e-01,6.26753e-02,2.97451e-09,0.000131,1.04927e+00,1.04927e+00,0,5.90643e-01,5.90643e-01
fs,hbt_typ,mos_fs,res_typ,-40,2.97,PASS,2.10796e+00,7.84695e-01,7.84948e-01,2.58583e-03,2.10796e-09,0.000253,1.04828e+00,1.04828e+00,0,7.85227e-01,7.85227e-01
fs,hbt_typ,mos_fs,res_typ,-40,3.30,PASS,2.43806e+00,7.84739e-01,7.85090e-01,2.87649e-03,2.43806e-09,0.000351,1.04898e+00,1.04898e+00,0,7.85278e-01,7.85278e-01
fs,hbt_typ,mos_fs,res_typ,-40,3.63,PASS,2.76817e+00,7.84777e-01,7.85214e-01,3.16800e-03,2.76817e-09,0.000437,1.04957e+00,1.04957e+00,0,7.85321e-01,7.85321e-01
fs,hbt_typ,mos_fs,res_typ,27,2.97,PASS,2.13757e+00,7.08323e-01,7.08462e-01,5.29988e-03,2.13774e-09,0.000139,1.04946e+00,1.04946e+00,0,7.08827e-01,7.08827e-01
fs,hbt_typ,mos_fs,res_typ,27,3.30,PASS,2.46768e+00,7.08368e-01,7.08605e-01,5.90869e-03,2.46789e-09,0.000237,1.05018e+00,1.05018e+00,0,7.08879e-01,7.08879e-01
fs,hbt_typ,mos_fs,res_typ,27,3.63,PASS,2.79783e+00,7.08404e-01,7.08722e-01,6.52243e-03,2.79807e-09,0.000318,1.05073e+00,1.05073e+00,0,7.08919e-01,7.08919e-01
fs,hbt_typ,mos_fs,res_typ,125,2.97,PASS,2.19679e+00,5.90102e-01,5.90065e-01,1.45406e-02,2.26813e-09,3.7e-05,1.04763e+00,1.04763e+00,0,5.90524e-01,5.90524e-01
fs,hbt_typ,mos_fs,res_typ,125,3.30,PASS,2.52695e+00,5.90144e-01,5.90200e-01,1.63663e-02,2.60882e-09,5.6e-05,1.04834e+00,1.04834e+00,0,5.90575e-01,5.90575e-01
fs,hbt_typ,mos_fs,res_typ,125,3.63,PASS,2.85718e+00,5.90171e-01,5.90288e-01,1.82497e-02,2.95156e-09,0.000117,1.04873e+00,1.04873e+00,0,5.90604e-01,5.90604e-01
