corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,vref_2ms_v,vref_3ms_v,vref_settle_delta_v
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,2.53925e+00,7.05314e-01,7.05055e-01,5.98101e-03,2.53965e-09,0.000259,1.16292e+00,1.16292e+00,0
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,2.86950e+00,7.05326e-01,7.05091e-01,6.60078e-03,2.87018e-09,0.000235,1.16314e+00,1.16314e+00,0
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.26389e+00,5.85916e-01,5.85409e-01,1.44743e-02,2.40157e-09,0.000507,1.20148e+00,1.20148e+00,0
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.59416e+00,5.85929e-01,5.85450e-01,1.62684e-02,2.75233e-09,0.000479,1.20188e+00,1.20188e+00,0
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,2.92451e+00,5.85927e-01,5.85445e-01,1.81124e-02,3.10706e-09,0.000482,1.20184e+00,1.20184e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.08649e+00,7.89226e-01,7.89070e-01,5.93974e-03,2.08663e-09,0.000156,1.14161e+00,1.14161e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,2.41667e+00,7.89249e-01,7.89140e-01,6.64154e-03,2.41653e-09,0.000109,1.14208e+00,1.14208e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74687e+00,7.89268e-01,7.89197e-01,7.35420e-03,2.74701e-09,7.1e-05,1.14243e+00,1.14243e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11837e+00,7.14125e-01,7.13851e-01,1.48118e-02,2.11840e-09,0.000274,1.17215e+00,1.17215e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44858e+00,7.14147e-01,7.13919e-01,1.68269e-02,2.44860e-09,0.000228,1.17264e+00,1.17264e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77881e+00,7.14162e-01,7.13964e-01,1.89541e-02,2.77883e-09,0.000198,1.17293e+00,1.17293e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18140e+00,5.97767e-01,5.97305e-01,5.79940e-02,2.20518e-09,0.000462,1.21438e+00,1.21438e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51166e+00,5.97785e-01,5.97359e-01,7.55202e-02,2.54806e-09,0.000426,1.21486e+00,1.21486e+00,0
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84197e+00,5.97789e-01,5.97371e-01,1.04693e-01,2.91191e-09,0.000418,1.21494e+00,1.21494e+00,0
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16284e+00,7.85020e-01,7.84864e-01,5.06485e-03,2.16295e-09,0.000156,1.13714e+00,1.13714e+00,0
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49303e+00,7.85041e-01,7.84928e-01,5.65203e-03,2.49295e-09,0.000113,1.13757e+00,1.13757e+00,0
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82323e+00,7.85057e-01,7.84980e-01,6.24510e-03,2.82324e-09,7.7e-05,1.13789e+00,1.13789e+00,0
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19223e+00,7.08665e-01,7.08390e-01,1.18932e-02,2.19224e-09,0.000275,1.16637e+00,1.16637e+00,0
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52245e+00,7.08685e-01,7.08450e-01,1.34019e-02,2.52247e-09,0.000235,1.16682e+00,1.16682e+00,0
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85269e+00,7.08697e-01,7.08488e-01,1.49616e-02,2.85280e-09,0.000209,1.16705e+00,1.16705e+00,0
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25121e+00,5.90436e-01,5.89964e-01,4.21350e-02,2.28518e-09,0.000472,1.20664e+00,1.20664e+00,0
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58148e+00,5.90450e-01,5.90007e-01,5.08014e-02,2.62568e-09,0.000443,1.20705e+00,1.20705e+00,0
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91182e+00,5.90449e-01,5.90006e-01,6.18009e-02,2.97221e-09,0.000443,1.20704e+00,1.20704e+00,0
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10681e+00,7.85013e-01,7.84843e-01,2.56213e-03,2.10666e-09,0.00017,1.13703e+00,1.13703e+00,0
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43700e+00,7.85035e-01,7.84912e-01,2.85075e-03,2.43716e-09,0.000123,1.13750e+00,1.13750e+00,0
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76719e+00,7.85054e-01,7.84968e-01,3.14001e-03,2.76700e-09,8.6e-05,1.13784e+00,1.13784e+00,0
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13640e+00,7.08656e-01,7.08362e-01,5.26263e-03,2.13649e-09,0.000294,1.16623e+00,1.16623e+00,0
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46661e+00,7.08678e-01,7.08428e-01,5.86838e-03,2.46670e-09,0.00025,1.16672e+00,1.16672e+00,0
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79685e+00,7.08692e-01,7.08473e-01,6.47936e-03,2.79720e-09,0.000219,1.16699e+00,1.16699e+00,0
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19570e+00,5.90425e-01,5.89932e-01,1.44584e-02,2.26689e-09,0.000493,1.20648e+00,1.20648e+00,0
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52595e+00,5.90442e-01,5.89984e-01,1.62774e-02,2.60766e-09,0.000458,1.20695e+00,1.20695e+00,0
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85628e+00,5.90445e-01,5.89992e-01,1.81545e-02,2.95046e-09,0.000453,1.20699e+00,1.20699e+00,0
