corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,dc_gain_db,crossover_hz,phase_margin_deg,n_crossings,notch_min_db,notch_min_hz,notch_margin_flag
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,2.51450e+00,2.515128e+00,7.818074e-01,7.815412e-01,1.043533e+00,47.0265,4.955297e+07,104.1814,2,-0.4045,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,2.84468e+00,2.845373e+00,7.818141e-01,7.815683e-01,1.043687e+00,46.8010,4.894645e+07,99.2322,2,-0.5478,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.21112e+00,2.211683e+00,7.046756e-01,7.042535e-01,1.043902e+00,46.4085,5.343635e+07,116.6345,2,-0.0533,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,2.54131e+00,2.541943e+00,7.046838e-01,7.042851e-01,1.044119e+00,46.5302,5.226236e+07,110.5944,2,-0.1643,5.843414e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,2.87155e+00,2.872233e+00,7.046852e-01,7.042962e-01,1.044194e+00,46.1765,5.113754e+07,104.8641,2,-0.4365,5.843414e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.26582e+00,2.266406e+00,5.853290e-01,5.846925e-01,1.041073e+00,45.6794,,,0,0.1107,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.59607e+00,2.596724e+00,5.853308e-01,5.847041e-01,1.041227e+00,45.6954,5.323355e+07,119.3213,2,-0.0481,5.411695e+07,marginal
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,2.92639e+00,2.927114e+00,5.853180e-01,5.846720e-01,1.041080e+00,45.1316,5.218371e+07,113.6062,2,-0.1172,5.411695e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.08775e+00,2.088393e+00,7.887945e-01,7.884957e-01,1.049604e+00,47.3099,4.183445e+07,97.4292,2,-0.6569,4.641589e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,2.41792e+00,2.418622e+00,7.888053e-01,7.885355e-01,1.049842e+00,47.5977,4.161364e+07,92.4392,2,-0.8436,5.011872e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,2.74809e+00,2.748864e+00,7.888125e-01,7.885644e-01,1.050003e+00,47.5051,4.162914e+07,88.5072,2,-1.1175,5.011872e+07,clear
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.11958e+00,2.120216e+00,7.136971e-01,7.132779e-01,1.052326e+00,46.9506,4.261951e+07,98.2749,2,-0.5384,5.011872e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,2.44977e+00,2.450470e+00,7.137067e-01,7.133138e-01,1.052562e+00,47.1844,4.242003e+07,94.0672,2,-0.7321,5.011872e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,2.77998e+00,2.780750e+00,7.137097e-01,7.133299e-01,1.052659e+00,46.9783,4.239177e+07,90.3246,2,-1.0007,5.011872e+07,clear
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.18247e+00,2.183124e+00,5.973683e-01,5.967516e-01,1.052675e+00,46.3857,4.226078e+07,102.2784,2,-0.3862,4.641589e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,2.51269e+00,2.513427e+00,5.973730e-01,5.967724e-01,1.052870e+00,46.5219,4.208290e+07,98.9601,2,-0.6043,4.641589e+07,marginal
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,2.84298e+00,2.843794e+00,5.973644e-01,5.967529e-01,1.052782e+00,46.1087,4.176225e+07,94.4052,2,-0.7883,4.641589e+07,marginal
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.16474e+00,2.165341e+00,7.844356e-01,7.841470e-01,1.045957e+00,47.3577,4.556969e+07,103.1772,2,-0.3699,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,2.49491e+00,2.495575e+00,7.844452e-01,7.841831e-01,1.046180e+00,47.5530,4.510655e+07,97.6966,2,-0.5878,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,2.82510e+00,2.825820e+00,7.844513e-01,7.842088e-01,1.046328e+00,47.3428,4.497822e+07,93.5837,2,-0.7983,5.411695e+07,marginal
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.19407e+00,2.194665e+00,7.080853e-01,7.076750e-01,1.047393e+00,46.9561,4.700453e+07,105.8304,2,-0.2936,5.411695e+07,marginal
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,2.52426e+00,2.524925e+00,7.080932e-01,7.077057e-01,1.047607e+00,47.0923,4.627582e+07,100.1737,2,-0.4641,5.411695e+07,marginal
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85449e+00,2.855213e+00,7.080944e-01,7.077165e-01,1.047681e+00,46.7570,4.606291e+07,96.2794,2,-0.6997,5.411695e+07,marginal
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25290e+00,2.253520e+00,5.898872e-01,5.892729e-01,1.045801e+00,46.3034,4.740617e+07,112.1147,2,-0.1925,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58314e+00,2.583835e+00,5.898890e-01,5.892849e-01,1.045957e+00,46.3342,4.599874e+07,104.7100,2,-0.2672,5.011872e+07,marginal
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91346e+00,2.914217e+00,5.898769e-01,5.892548e-01,1.045819e+00,45.7852,4.594939e+07,102.1212,2,-0.4157,5.011872e+07,marginal
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10833e+00,2.108937e+00,7.845346e-01,7.842327e-01,1.045417e+00,46.8771,4.541542e+07,102.0715,2,-0.4370,5.011872e+07,marginal
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43849e+00,2.439165e+00,7.845459e-01,7.842738e-01,1.045660e+00,47.1540,4.494374e+07,96.5691,2,-0.6650,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76867e+00,2.769405e+00,7.845536e-01,7.843041e-01,1.045827e+00,47.0465,4.488206e+07,92.2453,2,-0.8772,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13786e+00,2.138465e+00,7.081817e-01,7.077537e-01,1.046823e+00,46.4847,4.719654e+07,106.2235,2,-0.2925,5.011872e+07,marginal
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46805e+00,2.468719e+00,7.081917e-01,7.077905e-01,1.047063e+00,46.7051,4.625617e+07,99.9012,2,-0.5405,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79827e+00,2.799000e+00,7.081949e-01,7.078071e-01,1.047161e+00,46.4805,4.597853e+07,95.3771,2,-0.7316,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19701e+00,2.197632e+00,5.899803e-01,5.893455e-01,1.045219e+00,45.8614,4.780958e+07,112.2862,2,-0.1412,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52724e+00,2.527938e+00,5.899849e-01,5.893658e-01,1.045412e+00,45.9853,4.613860e+07,104.9854,2,-0.2798,5.411695e+07,marginal
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85754e+00,2.858313e+00,5.899755e-01,5.893439e-01,1.045311e+00,45.5626,4.582054e+07,101.3133,2,-0.4612,5.011872e+07,marginal
