corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_seed_v,fb_op_v,sns1_op_v,sns2_op_v,vref_op_v,psrr_dc_db,psrr_min_db,psrr_min_freq_hz,psrr_1khz_db,psrr_100khz_db,psrr_1mhz_db
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85269e+00,2.853076e+00,7.086396e-01,7.082566e-01,1.165537e+00,79.4408,3.8486,3.686945e+07,79.4371,69.6065,49.9366
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25121e+00,2.251541e+00,5.903875e-01,5.897682e-01,1.205410e+00,58.0919,4.0825,3.414549e+07,58.0919,57.8563,49.7254
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58148e+00,2.581844e+00,5.903924e-01,5.897833e-01,1.205656e+00,74.0035,4.1167,3.414549e+07,74.0025,68.866,50.2428
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91182e+00,2.912214e+00,5.903834e-01,5.897560e-01,1.205488e+00,57.4921,4.1621,3.414549e+07,57.4921,57.2634,49.2855
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10681e+00,2.107143e+00,7.849758e-01,7.846698e-01,1.135812e+00,59.0583,3.9052,3.414549e+07,59.0583,58.701,49.0987
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43699e+00,2.437358e+00,7.849903e-01,7.847142e-01,1.136130e+00,61.7965,3.8970,3.686945e+07,61.7964,61.1445,49.3041
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76719e+00,2.767586e+00,7.850013e-01,7.847477e-01,1.136340e+00,67.2389,3.7642,3.686945e+07,67.2387,65.2889,49.5002
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13640e+00,2.136726e+00,7.086156e-01,7.081834e-01,1.165028e+00,58.0749,3.9571,3.414549e+07,58.0748,57.7964,49.1056
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46661e+00,2.466967e+00,7.086288e-01,7.082235e-01,1.165356e+00,62.7761,3.9430,3.686945e+07,62.776,61.9972,49.4829
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79685e+00,2.797236e+00,7.086352e-01,7.082431e-01,1.165484e+00,105.1988,3.8696,3.686945e+07,103.909,69.8074,49.6719
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19570e+00,2.196025e+00,5.903778e-01,5.897389e-01,1.205269e+00,57.1255,4.1195,3.414549e+07,57.1255,56.9277,49.4152
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52595e+00,2.526320e+00,5.903855e-01,5.897624e-01,1.205566e+00,68.9499,4.1525,3.414549e+07,68.9496,66.5282,49.9742
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85628e+00,2.856682e+00,5.903792e-01,5.897432e-01,1.205449e+00,58.4765,4.2012,3.414549e+07,58.4765,58.1736,49.184
