corner_label,pnp_section,mos_section,res_section,temp_c,vdd_v,status,vref_v,vfb_v,veb_q1_v,veb_q2_v,veb_q3_v,dveb_ptat_v,i_leg1_a,i_leg2_a,i_leg3_a,r1_ohm,r2_ohm
wcs,wcs,mos_ss,res_wcs,-40,3.30,PASS,1.338383e+00,2.387118e+00,8.774474e-01,8.340506e-01,8.773541e-01,4.339680e-02,5.081304e-06,5.080483e-06,5.059335e-06,9.112441e+04,1.201793e+04
wcs,wcs,mos_ss,res_wcs,-40,3.63,PASS,1.339888e+00,2.717118e+00,8.775121e-01,8.341122e-01,8.774211e-01,4.339990e-02,5.096570e-06,5.095739e-06,5.075117e-06,9.112438e+04,1.201792e+04
wcs,wcs,mos_ss,res_wcs,27,2.97,PASS,1.245271e+00,2.109410e+00,7.809955e-01,7.255289e-01,7.808832e-01,5.546660e-02,5.068299e-06,5.068039e-06,5.047447e-06,9.200449e+04,1.213175e+04
wcs,wcs,mos_ss,res_wcs,27,3.30,PASS,1.246726e+00,2.439410e+00,7.810704e-01,7.256014e-01,7.809637e-01,5.546900e-02,5.082247e-06,5.081989e-06,5.062385e-06,9.200452e+04,1.213175e+04
wcs,wcs,mos_ss,res_wcs,27,3.63,PASS,1.248101e+00,2.769410e+00,7.811446e-01,7.256730e-01,7.810396e-01,5.547160e-02,5.096077e-06,5.095805e-06,5.076510e-06,9.200443e+04,1.213176e+04
wcs,wcs,mos_ss,res_wcs,125,2.97,PASS,1.108414e+00,2.207651e+00,6.338747e-01,5.607053e-01,6.337397e-01,7.316940e-02,5.074222e-06,5.074607e-06,5.055826e-06,9.388660e+04,1.237649e+04
wcs,wcs,mos_ss,res_wcs,125,3.30,PASS,1.109718e+00,2.537651e+00,6.339543e-01,5.607883e-01,6.338307e-01,7.316600e-02,5.086329e-06,5.086703e-06,5.068736e-06,9.388678e+04,1.237648e+04
wcs,wcs,mos_ss,res_wcs,125,3.63,PASS,1.110951e+00,2.867651e+00,6.340415e-01,5.608738e-01,6.339166e-01,7.316770e-02,5.098774e-06,5.099177e-06,5.080962e-06,9.388663e+04,1.237649e+04
sf,typ,mos_sf,res_typ,-40,2.97,PASS,1.296565e+00,2.141867e+00,8.781549e-01,8.348568e-01,8.780627e-01,4.329810e-02,5.073095e-06,5.072495e-06,5.051712e-06,8.284366e+04,1.092876e+04
sf,typ,mos_sf,res_typ,-40,3.30,PASS,1.298038e+00,2.471867e+00,8.782204e-01,8.349213e-01,8.781343e-01,4.329910e-02,5.089050e-06,5.088464e-06,5.068630e-06,8.284363e+04,1.092878e+04
sf,typ,mos_sf,res_typ,-40,3.63,PASS,1.299437e+00,2.801867e+00,8.782957e-01,8.349843e-01,8.782020e-01,4.331140e-02,5.104688e-06,5.104093e-06,5.084695e-06,8.284371e+04,1.092878e+04
sf,typ,mos_sf,res_typ,27,2.97,PASS,1.203759e+00,2.193132e+00,7.809477e-01,7.255830e-01,7.808431e-01,5.536470e-02,5.075465e-06,5.075437e-06,5.056167e-06,8.364358e+04,1.103204e+04
sf,typ,mos_sf,res_typ,27,3.30,PASS,1.205105e+00,2.523132e+00,7.810244e-01,7.256569e-01,7.809241e-01,5.536750e-02,5.089720e-06,5.089687e-06,5.071289e-06,8.364361e+04,1.103203e+04
sf,typ,mos_sf,res_typ,27,3.63,PASS,1.206383e+00,2.853132e+00,7.811005e-01,7.257300e-01,7.810008e-01,5.537050e-02,5.103865e-06,5.103824e-06,5.085645e-06,8.364371e+04,1.103206e+04
sf,typ,mos_sf,res_typ,125,2.97,PASS,1.064432e+00,2.289686e+00,6.322624e-01,5.591885e-01,6.321432e-01,7.307390e-02,5.081620e-06,5.082222e-06,5.064629e-06,8.535448e+04,1.125423e+04
sf,typ,mos_sf,res_typ,125,3.30,PASS,1.065636e+00,2.619686e+00,6.323488e-01,5.592732e-01,6.322347e-01,7.307560e-02,5.093974e-06,5.094562e-06,5.077669e-06,8.535438e+04,1.125424e+04
sf,typ,mos_sf,res_typ,125,3.63,PASS,1.066783e+00,2.949686e+00,6.324375e-01,5.593606e-01,6.323216e-01,7.307690e-02,5.106689e-06,5.107329e-06,5.090082e-06,8.535450e+04,1.125424e+04
fs,typ,mos_fs,res_typ,-40,2.97,PASS,1.296159e+00,2.085438e+00,8.781389e-01,8.348368e-01,8.780429e-01,4.330210e-02,5.068099e-06,5.067511e-06,5.047045e-06,8.284374e+04,1.092876e+04
fs,typ,mos_fs,res_typ,-40,3.30,PASS,1.297611e+00,2.415438e+00,8.781983e-01,8.349002e-01,8.781135e-01,4.329810e-02,5.083810e-06,5.083235e-06,5.063721e-06,8.284372e+04,1.092877e+04
fs,typ,mos_fs,res_typ,-40,3.63,PASS,1.298988e+00,2.745438e+00,8.782672e-01,8.349623e-01,8.781803e-01,4.330490e-02,5.099199e-06,5.098617e-06,5.079543e-06,8.284361e+04,1.092875e+04
fs,typ,mos_fs,res_typ,27,2.97,PASS,1.203354e+00,2.137387e+00,7.809216e-01,7.255579e-01,7.808186e-01,5.536370e-02,5.070631e-06,5.070606e-06,5.051611e-06,8.364369e+04,1.103203e+04
fs,typ,mos_fs,res_typ,27,3.30,PASS,1.204682e+00,2.467387e+00,7.809970e-01,7.256308e-01,7.808986e-01,5.536620e-02,5.084681e-06,5.084650e-06,5.066531e-06,8.364370e+04,1.103205e+04
fs,typ,mos_fs,res_typ,27,3.63,PASS,1.205941e+00,2.797387e+00,7.810718e-01,7.257029e-01,7.809743e-01,5.536890e-02,5.098616e-06,5.098578e-06,5.080683e-06,8.364362e+04,1.103206e+04
fs,typ,mos_fs,res_typ,125,2.97,PASS,1.063993e+00,2.235065e+00,6.322287e-01,5.591543e-01,6.321099e-01,7.307440e-02,5.076646e-06,5.077242e-06,5.059882e-06,8.535438e+04,1.125424e+04
fs,typ,mos_fs,res_typ,125,3.30,PASS,1.065183e+00,2.565065e+00,6.323147e-01,5.592379e-01,6.322003e-01,7.307680e-02,5.088833e-06,5.089415e-06,5.072762e-06,8.535443e+04,1.125424e+04
fs,typ,mos_fs,res_typ,125,3.63,PASS,1.066314e+00,2.895065e+00,6.324028e-01,5.593242e-01,6.322861e-01,7.307860e-02,5.101369e-06,5.102003e-06,5.085011e-06,8.535437e+04,1.125425e+04
