corner_label,pnp_section,mos_section,res_section,temp_c,vdd_v,status,det_early_v,fb_early_v,fb_final_v,sns1_final_v,sns2_final_v,vref_final_v,det_final_v,i_mkfb_final_a,dvsns_final_v
bcs,bcs,mos_ff,res_bcs,125,3.63,PASS,1.18350e-01,6.05217e-02,2.93075e+00,6.42455e-01,6.41994e-01,1.19217e+00,1.09043e-02,3.09097e-09,0.000461
wcs,wcs,mos_ss,res_wcs,-40,2.97,PASS,2.89524e-01,1.41064e-01,2.08738e+00,8.69929e-01,8.69776e-01,1.19445e+00,2.34853e-03,2.08764e-09,0.000153
wcs,wcs,mos_ss,res_wcs,-40,3.30,PASS,3.21695e-01,1.56493e-01,2.41756e+00,8.69952e-01,8.69847e-01,1.19488e+00,2.61254e-03,2.41745e-09,0.000105
wcs,wcs,mos_ss,res_wcs,-40,3.63,PASS,3.53866e-01,1.71868e-01,2.74776e+00,8.69972e-01,8.69904e-01,1.19522e+00,2.87752e-03,2.74754e-09,6.8e-05
wcs,wcs,mos_ss,res_wcs,27,2.97,PASS,2.90557e-01,1.42182e-01,2.12091e+00,7.78012e-01,7.77747e-01,1.19432e+00,5.67727e-03,2.12093e-09,0.000265
wcs,wcs,mos_ss,res_wcs,27,3.30,PASS,3.22843e-01,1.57434e-01,2.45112e+00,7.78035e-01,7.77815e-01,1.19477e+00,6.33637e-03,2.45129e-09,0.00022
wcs,wcs,mos_ss,res_wcs,27,3.63,PASS,3.55128e-01,1.72181e-01,2.78135e+00,7.78050e-01,7.77862e-01,1.19505e+00,7.00210e-03,2.78137e-09,0.000188
wcs,wcs,mos_ss,res_wcs,125,2.97,PASS,2.91461e-01,1.28444e-01,2.18750e+00,6.39166e-01,6.38723e-01,1.18931e+00,2.18883e-02,2.19999e-09,0.000443
wcs,wcs,mos_ss,res_wcs,125,3.30,PASS,3.23559e-01,1.24160e-01,2.51775e+00,6.39184e-01,6.38778e-01,1.18974e+00,2.50120e-02,2.53238e-09,0.000406
wcs,wcs,mos_ss,res_wcs,125,3.63,PASS,3.53746e-01,1.04781e-01,2.84806e+00,6.39189e-01,6.38791e-01,1.18981e+00,2.83631e-02,2.86536e-09,0.000398
sf,typ,mos_sf,res_typ,-40,2.97,PASS,2.91004e-01,1.41492e-01,2.16370e+00,8.72708e-01,8.72555e-01,1.19708e+00,2.19923e-03,2.16379e-09,0.000153
sf,typ,mos_sf,res_typ,-40,3.30,PASS,3.23339e-01,1.56961e-01,2.49389e+00,8.72730e-01,8.72620e-01,1.19749e+00,2.44598e-03,2.49401e-09,0.00011
sf,typ,mos_sf,res_typ,-40,3.63,PASS,3.55675e-01,1.72355e-01,2.82410e+00,8.72747e-01,8.72672e-01,1.19779e+00,2.69327e-03,2.82400e-09,7.5e-05
sf,typ,mos_sf,res_typ,27,2.97,PASS,2.91835e-01,1.42461e-01,2.19478e+00,7.80498e-01,7.80231e-01,1.19651e+00,4.98481e-03,2.19469e-09,0.000267
sf,typ,mos_sf,res_typ,27,3.30,PASS,3.24262e-01,1.57351e-01,2.52499e+00,7.80518e-01,7.80291e-01,1.19692e+00,5.55636e-03,2.52498e-09,0.000227
sf,typ,mos_sf,res_typ,27,3.63,PASS,3.56688e-01,1.71075e-01,2.85523e+00,7.80531e-01,7.80330e-01,1.19715e+00,6.13222e-03,2.85531e-09,0.000201
sf,typ,mos_sf,res_typ,125,2.97,PASS,2.89686e-01,1.23491e-01,2.25734e+00,6.40869e-01,6.40417e-01,1.19061e+00,1.73221e-02,2.27913e-09,0.000452
sf,typ,mos_sf,res_typ,125,3.30,PASS,3.11781e-01,1.09745e-01,2.58761e+00,6.40884e-01,6.40461e-01,1.19098e+00,1.95854e-02,2.61279e-09,0.000423
sf,typ,mos_sf,res_typ,125,3.63,PASS,3.16189e-01,9.31979e-02,2.91794e+00,6.40884e-01,6.40461e-01,1.19099e+00,2.19466e-02,2.94717e-09,0.000423
fs,typ,mos_fs,res_typ,-40,2.97,PASS,2.91010e-01,1.41461e-01,2.10769e+00,8.72701e-01,8.72533e-01,1.19698e+00,1.41015e-03,2.10780e-09,0.000168
fs,typ,mos_fs,res_typ,-40,3.30,PASS,3.23345e-01,1.56814e-01,2.43788e+00,8.72724e-01,8.72603e-01,1.19742e+00,1.56752e-03,2.43804e-09,0.000121
fs,typ,mos_fs,res_typ,-40,3.63,PASS,3.55680e-01,1.71834e-01,2.76807e+00,8.72743e-01,8.72660e-01,1.19775e+00,1.72504e-03,2.76819e-09,8.3e-05
fs,typ,mos_fs,res_typ,27,2.97,PASS,2.91832e-01,1.39152e-01,2.13900e+00,7.80488e-01,7.80203e-01,1.19638e+00,2.93759e-03,2.13919e-09,0.000285
fs,typ,mos_fs,res_typ,27,3.30,PASS,3.24255e-01,1.49745e-01,2.46921e+00,7.80511e-01,7.80270e-01,1.19682e+00,3.26804e-03,2.46928e-09,0.000241
fs,typ,mos_fs,res_typ,27,3.63,PASS,3.56671e-01,1.53275e-01,2.79944e+00,7.80526e-01,7.80315e-01,1.19709e+00,3.59961e-03,2.79960e-09,0.000211
fs,typ,mos_fs,res_typ,125,2.97,PASS,2.64702e-01,2.76403e-02,2.20195e+00,6.40859e-01,6.40386e-01,1.19047e+00,8.66996e-03,2.26621e-09,0.000473
fs,typ,mos_fs,res_typ,125,3.30,PASS,2.43909e-01,2.55438e-02,2.53221e+00,6.40877e-01,6.40439e-01,1.19088e+00,9.68669e-03,2.60487e-09,0.000438
fs,typ,mos_fs,res_typ,125,3.63,PASS,1.97097e-01,3.88148e-02,2.86253e+00,6.40880e-01,6.40448e-01,1.19095e+00,1.07168e-02,2.94493e-09,0.000432
