corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,fb_v,sns1_v,sns2_v,det_v,i_mkfb_a,dvsns_v,iq_2ms_a,iq_3ms_a,iq_avg_a,iq_settle_delta_a
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,2.85269e+00,7.08697e-01,7.08488e-01,1.49616e-02,2.85280e-09,0.000209,2.90127e-05,2.90127e-05,2.90127e-05,0
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.25121e+00,5.90436e-01,5.89964e-01,4.21350e-02,2.28518e-09,0.000472,3.67272e-05,3.67272e-05,3.67272e-05,0
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,2.58148e+00,5.90450e-01,5.90007e-01,5.08014e-02,2.62568e-09,0.000443,3.71863e-05,3.71863e-05,3.71863e-05,0
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,2.91182e+00,5.90449e-01,5.90006e-01,6.18009e-02,2.97221e-09,0.000443,3.76506e-05,3.76507e-05,3.76506e-05,1e-10
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.10681e+00,7.85013e-01,7.84843e-01,2.56213e-03,2.10666e-09,0.00017,2.21731e-05,2.21731e-05,2.21731e-05,0
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,2.43700e+00,7.85035e-01,7.84912e-01,2.85075e-03,2.43716e-09,0.000123,2.25945e-05,2.25944e-05,2.25944e-05,1e-10
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,2.76719e+00,7.85054e-01,7.84968e-01,3.14001e-03,2.76700e-09,8.6e-05,2.30262e-05,2.30262e-05,2.30262e-05,0
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.13640e+00,7.08656e-01,7.08362e-01,5.26263e-03,2.13649e-09,0.000294,2.81397e-05,2.81397e-05,2.81397e-05,0
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,2.46661e+00,7.08678e-01,7.08428e-01,5.86838e-03,2.46670e-09,0.00025,2.85815e-05,2.85815e-05,2.85815e-05,0
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,2.79685e+00,7.08692e-01,7.08473e-01,6.47936e-03,2.79720e-09,0.000219,2.90317e-05,2.90317e-05,2.90317e-05,0
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.19570e+00,5.90425e-01,5.89932e-01,1.44584e-02,2.26689e-09,0.000493,3.675e-05,3.675e-05,3.675e-05,0
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.52595e+00,5.90442e-01,5.89984e-01,1.62774e-02,2.60766e-09,0.000458,3.72184e-05,3.72184e-05,3.72184e-05,0
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.85628e+00,5.90445e-01,5.89992e-01,1.81545e-02,2.95046e-09,0.000453,3.76905e-05,3.76905e-05,3.76905e-05,0
